gene	aRRA	aRRA p_value	aRRA FDR	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
PCDHAC1	0.000210678140522	0.003	0.620235849057	False	6	1	1.11875778767
ORC4	0.000218781145927	0.003	0.620235849057	False	6	1	0.845707489591
ZNF44	0.000226884151332	0.003	0.620235849057	False	6	1	0.538733076675
NRM	0.000228008507267	0.003	0.620235849057	False	6	2	-0.264035063915
KCNK5	0.000228375719942	0.003	0.620235849057	False	6	2	-0.155421950188
PRLH	0.000230093285786	0.004	0.762260869565	False	6	2	0.111358807845
ARHGEF26	0.000231940675288	0.004	0.762260869565	False	6	2	-0.470830426388
SRPK1	0.000231940675288	0.004	0.762260869565	False	6	2	1.53710684184
GCLC	0.000234539430084	0.004	0.762260869565	False	6	2	-0.445558651607
ATG5	0.000234987156736	0.004	0.762260869565	False	6	1	-0.428899848495
KCNAB1	0.000235284590632	0.004	0.762260869565	False	6	2	0.776783322934
CAMK4	0.000239529491025	0.004	0.762260869565	False	6	2	0.0832446054364
BLNK	0.000239529491025	0.004	0.762260869565	False	6	2	-0.153042704664
DNAH14	0.000243090162141	0.004	0.762260869565	False	6	1	-1.06288499537
MEN1	0.00024915531858	0.005	0.776734177215	False	6	2	0.835886068098
OR10J3	0.00024915531858	0.005	0.776734177215	False	6	2	0.787358391278
MANSC1	0.00024915531858	0.005	0.776734177215	False	6	2	1.19724969847
DYNLRB2	0.000254426940426	0.005	0.776734177215	False	6	2	0.165147155023
SLC15A4	0.000258449438399	0.005	0.776734177215	False	6	2	-0.210120776756
SUPT16H	0.000259231630452	0.005	0.776734177215	False	6	2	-0.950507174592
SERPINE1	0.000259296172951	0.006	0.776734177215	False	6	1	0.0816264348503
TUBGCP2	0.000261978609756	0.006	0.776734177215	False	6	2	-0.709219323356
SRSF10	0.000264081263855	0.006	0.776734177215	False	6	2	0.466378645689
CLEC1A	0.000265927980355	0.006	0.776734177215	False	6	2	-0.422570287792
DEFB115	0.000267399178355	0.006	0.776734177215	False	6	1	0.271796044872
CNOT6L	0.00027550218376	0.006	0.776734177215	False	6	1	0.340090232567
ZNF253	0.000283605189165	0.006	0.776734177215	False	6	1	0.577674736427
ZNF784	0.000291686921152	0.006	0.776734177215	False	6	2	2.03675318692
PIWIL3	0.000291708194569	0.006	0.776734177215	False	6	1	0.546771665521
LRRIQ3	0.000299811199974	0.006	0.776734177215	False	6	1	-0.251199849591
PANX2	0.000307914205379	0.006	0.776734177215	False	6	1	-0.370141088314
LOC730159	0.000332223221593	0.006	0.776734177215	False	6	1	-0.927513218111
SYT5	0.000339078334225	0.007	0.776734177215	False	6	2	0.893931409673
TSPAN14	0.000339078334225	0.007	0.776734177215	False	6	2	0.263610969373
HOXA9	0.000339078334225	0.007	0.776734177215	False	6	2	-0.712334702751
WDR92	0.000339078334225	0.007	0.776734177215	False	6	2	-0.589052681355
ZC3H12A	0.000339078334225	0.007	0.776734177215	False	6	2	0.155823964253
SLC29A2	0.000339078334225	0.007	0.776734177215	False	6	2	-0.15000515909
NEGR1	0.000339078334225	0.007	0.776734177215	False	6	2	0.327986519494
GTF3C4	0.000339078334225	0.007	0.776734177215	False	6	2	0.0144382096148
SC5D	0.000339078334225	0.007	0.776734177215	False	6	2	0.217987497291
KLF7	0.000339078334225	0.007	0.776734177215	False	6	2	1.32821834235
CACTIN	0.000339078334225	0.007	0.776734177215	False	6	2	0.206412953796
GUCY1B3	0.000339078334225	0.007	0.776734177215	False	6	2	-0.60075408608
STK11	0.000339078334225	0.007	0.776734177215	False	6	2	0.278131948193
SMAD6	0.000339078334225	0.007	0.776734177215	False	6	2	-0.351896476254
MTERFD3	0.000339078334225	0.007	0.776734177215	False	6	2	-0.125558678636
ME2	0.000339078334225	0.007	0.776734177215	False	6	2	0.602138705336
DNAJC24	0.000339078334225	0.007	0.776734177215	False	6	2	1.10065595081
BAG5	0.000339078334225	0.007	0.776734177215	False	6	2	-0.337130669027
SLC35E4	0.000339078334225	0.007	0.776734177215	False	6	2	1.5764737767
MAP4K1	0.000339078334225	0.007	0.776734177215	False	6	2	0.0918039753876
IRX4	0.000339078334225	0.007	0.776734177215	False	6	2	0.653380868594
INTS5	0.000339078334225	0.007	0.776734177215	False	6	2	-0.914807015269
STX7	0.000339078334225	0.007	0.776734177215	False	6	2	0.479138404394
DEFB124	0.000339078334225	0.007	0.776734177215	False	6	2	0.129755310465
TNFAIP1	0.000339078334225	0.007	0.776734177215	False	6	2	-0.248651557355
SIRT6	0.000339078334225	0.007	0.776734177215	False	6	2	0.374267309961
GYPA	0.000339078334225	0.007	0.776734177215	False	6	2	0.407742753372
MED13	0.000339078334225	0.007	0.776734177215	False	6	2	0.0850379418515
GPR158	0.000339078334225	0.007	0.776734177215	False	6	2	-0.411265024688
SNRPE	0.000339078334225	0.007	0.776734177215	False	6	2	-1.00914323363
NKD1	0.000339078334225	0.007	0.776734177215	False	6	2	0.01831243486
BCL10	0.000339078334225	0.007	0.776734177215	False	6	2	0.868417202754
SERBP1	0.000339078334225	0.007	0.776734177215	False	6	2	-0.531730537799
ADPRM	0.000339078334225	0.007	0.776734177215	False	6	2	-0.340468543886
HIVEP3	0.000339078334225	0.007	0.776734177215	False	6	2	-0.00850342834916
TOE1	0.000339078334225	0.007	0.776734177215	False	6	2	0.774103756657
TRIM38	0.000339078334225	0.007	0.776734177215	False	6	2	0.502796221953
C20orf144	0.000339078334225	0.007	0.776734177215	False	6	2	-0.0348329247555
ARX	0.000339078334225	0.007	0.776734177215	False	6	2	0.0159822613102
EIF4A3	0.000340326226998	0.007	0.776734177215	False	6	1	-0.175086324444
NOP16	0.000348429232402	0.007	0.776734177215	False	6	1	-0.0150594173387
GTF2B	0.000356532237807	0.007	0.776734177215	False	6	1	0.903785627221
SH2B3	0.000364635243212	0.007	0.776734177215	False	6	1	1.23462426761
HCFC2	0.000372738248616	0.007	0.776734177215	False	6	1	0.024357837436
DHRS7B	0.000380841254021	0.007	0.776734177215	False	6	1	0.333030656861
LUZP2	0.000388944259426	0.007	0.776734177215	False	6	1	0.502678360289
TAAR5	0.000397047264831	0.007	0.776734177215	False	6	1	-0.205602968968
ADRA2C	0.000405150270235	0.007	0.776734177215	False	6	1	0.618173545233
PPP3CA	0.00041325327564	0.007	0.776734177215	False	6	1	-0.0329519869819
PAK2	0.000419278642908	0.007	0.776734177215	False	6	2	0.631936262382
hsa-mir-4472-1	0.000421356281045	0.007	0.776734177215	False	4	1	1.02195859365
KDM2B	0.000428957194397	0.007	0.776734177215	False	6	2	0.318349488394
RNF130	0.000428957194397	0.007	0.776734177215	False	6	2	-0.221725173301
ZNF124	0.000428957194397	0.007	0.776734177215	False	6	2	1.01869076637
PROC	0.000428957194397	0.007	0.776734177215	False	6	2	-0.301735955858
TMA16	0.000429459286449	0.007	0.776734177215	False	6	1	0.593156980617
KLHDC10	0.000437562291854	0.007	0.776734177215	False	6	1	0.189287917669
FRRS1L	0.00043840679401	0.007	0.776734177215	False	6	2	0.121792214446
LIN7A	0.000440445102586	0.007	0.776734177215	False	6	2	-0.768102763289
FAM183A	0.000445665297259	0.007	0.776734177215	False	6	1	0.934698540833
EPHB4	0.000452257118517	0.008	0.776734177215	False	6	2	0.651920329608
UNC45A	0.000452257118517	0.008	0.776734177215	False	6	2	-0.343244274302
C7orf69	0.000452257118517	0.008	0.776734177215	False	6	2	-0.996520193628
DEPDC4	0.000452257118517	0.008	0.776734177215	False	6	2	1.42469579936
POM121L2	0.000452257118517	0.008	0.776734177215	False	6	2	-0.0614994666334
RPL26	0.000453768302663	0.008	0.776734177215	False	6	1	-0.796550848542
FTL	0.000461871308068	0.008	0.776734177215	False	6	1	0.0569731118949
SMCO2	0.000464924043507	0.008	0.776734177215	False	6	2	-0.512617248968
SKOR1	0.000464924043507	0.008	0.776734177215	False	6	2	0.275329478452
ADRA1A	0.000469126725359	0.008	0.776734177215	False	6	2	-0.179444037325
JMY	0.000469974313473	0.008	0.776734177215	False	6	1	0.151885642228
EXOC1	0.000471939018651	0.008	0.776734177215	False	6	2	0.539314298272
hsa-mir-520c	0.000478077318878	0.008	0.776734177215	False	4	1	1.09578371392
CCS	0.000478651898131	0.008	0.776734177215	False	6	2	-0.922376359276
SPATA19	0.000482381985099	0.008	0.776734177215	False	6	2	0.321206921776
ZDHHC7	0.000488093766433	0.008	0.776734177215	False	6	2	-1.19368570138
NUP43	0.000490231826985	0.008	0.776734177215	False	6	1	-1.67605359159
OR2L2	0.000490231826985	0.008	0.776734177215	False	6	1	0.905248517261
PABPN1L	0.000495641496241	0.008	0.776734177215	False	6	2	0.415334966677
OR5K4	0.000501612481694	0.008	0.776734177215	False	6	2	0.490734077932
CNIH1	0.000502386335092	0.008	0.776734177215	False	6	1	0.942295870463
RAB44	0.000510489340496	0.008	0.776734177215	False	6	1	-0.454467951661
ADAP1	0.000517525539814	0.008	0.776734177215	False	6	2	-0.942019546808
TYMS	0.000517525539814	0.008	0.776734177215	False	6	2	-0.642545323031
FOXRED2	0.000517525539814	0.008	0.776734177215	False	6	2	-1.7140731138
MAGOHB	0.000517525539814	0.008	0.776734177215	False	6	2	0.276734556554
AJUBA	0.000517525539814	0.008	0.776734177215	False	6	2	0.723072919494
OAS2	0.000517525539814	0.008	0.776734177215	False	6	2	-0.961604498538
DDX11	0.000517525539814	0.008	0.776734177215	False	6	2	0.0422062015991
ZMYM1	0.000517525539814	0.008	0.776734177215	False	6	2	-0.465868588368
PHIP	0.000518592345901	0.008	0.776734177215	False	6	1	0.0535065966409
ADCY9	0.000531816795298	0.009	0.776734177215	False	6	2	-0.644725232407
ZNF296	0.000534061534817	0.009	0.776734177215	False	6	2	-0.139328152298
BANF2	0.000534798356711	0.009	0.776734177215	False	6	1	-0.0607666054186
MPDZ	0.000542901362115	0.009	0.776734177215	False	6	1	-0.704937740812
C11orf35	0.000555240403989	0.01	0.776734177215	False	6	2	0.881281449357
CDK2AP2	0.000555240403989	0.01	0.776734177215	False	6	2	0.284117555494
CHST10	0.000555240403989	0.01	0.776734177215	False	6	2	-0.403506679717
MUC16	0.000555240403989	0.01	0.776734177215	False	6	2	-0.727094009412
ALPK1	0.000555240403989	0.01	0.776734177215	False	6	2	-0.193452134365
AGBL4	0.000555240403989	0.01	0.776734177215	False	6	2	-0.0915300112758
ZNF317	0.000555240403989	0.01	0.776734177215	False	6	2	-0.389669005298
RSPH3	0.000555240403989	0.01	0.776734177215	False	6	2	0.0205567796291
SCGB3A1	0.000555240403989	0.01	0.776734177215	False	6	2	0.701743891497
MAGEB2	0.000555240403989	0.01	0.776734177215	False	6	2	0.626592023772
OSGEP	0.000555240403989	0.01	0.776734177215	False	6	2	-0.625838452042
MTF2	0.000559107372925	0.011	0.776734177215	False	5	1	-0.353718466939
SBSPON	0.000571261881032	0.011	0.776734177215	False	6	1	-0.21221372711
KRT74	0.000571261881032	0.011	0.776734177215	False	6	1	-0.0994527359032
AMDHD2	0.000576441925411	0.011	0.776734177215	False	6	2	-0.585947583041
KDM6A	0.000583416389139	0.011	0.776734177215	False	6	1	-0.382639784506
ARHGAP9	0.000584054214132	0.011	0.776734177215	False	6	2	0.485988399551
COTL1	0.000587977321253	0.011	0.776734177215	False	6	2	-0.132116327309
RPS19	0.000588960149868	0.011	0.776734177215	False	6	2	1.10611947853
OR1L6	0.000590928269298	0.011	0.776734177215	False	6	2	0.644141157423
FAM122C	0.000591519394543	0.011	0.776734177215	False	6	1	0.119010543989
SMIM1	0.000607725405353	0.011	0.776734177215	False	6	1	-0.0768330055162
ABHD14B	0.000615828410758	0.011	0.776734177215	False	6	1	0.351524558594
STAG1	0.000623931416162	0.011	0.776734177215	False	6	1	-1.05779042278
PLA2G4C	0.000631934554689	0.011	0.776734177215	False	6	2	2.02202069062
ARMCX5	0.000632034421567	0.011	0.776734177215	False	6	1	-2.10688657845
PECAM1	0.000640137426972	0.011	0.776734177215	False	6	1	0.865816137602
PTPRJ	0.000648240432376	0.011	0.776734177215	False	6	1	-0.741647914756
RNPC3	0.000656343437781	0.011	0.776734177215	False	6	1	-1.03841611749
PCGF1	0.000664446443186	0.011	0.776734177215	False	6	1	0.409063083313
LDHAL6B	0.00067254944859	0.011	0.776734177215	False	6	1	-0.386293509402
MAP2K4	0.000680652453995	0.011	0.776734177215	False	6	1	-1.03156488767
LRRC29	0.0006887554594	0.011	0.776734177215	False	6	1	-1.07581090596
PLK4	0.000696858464805	0.011	0.776734177215	False	6	1	-0.82418314483
YTHDF1	0.000704961470209	0.011	0.776734177215	False	6	1	-0.9420032808
KPNA4	0.000713064475614	0.011	0.776734177215	False	5	1	0.696702460575
ABL1	0.000721167481019	0.011	0.776734177215	False	6	1	-0.882950109117
ADAM28	0.000737373491828	0.011	0.776734177215	False	6	1	-0.428411934797
CSGALNACT2	0.000745476497233	0.011	0.776734177215	False	6	1	-0.517363147857
SLC12A4	0.000753579502638	0.011	0.776734177215	False	6	1	0.0910228309839
NCKAP1L	0.000761682508042	0.011	0.776734177215	False	6	1	-0.15594632263
FAM71B	0.000769785513447	0.011	0.776734177215	False	6	1	0.287613166868
GPAA1	0.000777888518852	0.011	0.776734177215	False	6	1	-0.351026228317
RNF224	0.000785991524256	0.011	0.776734177215	False	6	1	-0.0628919189402
RAB11FIP2	0.000794094529661	0.011	0.776734177215	False	6	1	-0.9032628842
FAM46C	0.000802197535066	0.011	0.776734177215	False	6	1	-0.755059601897
ADCK5	0.00081030054047	0.011	0.776734177215	False	6	1	0.819293493478
NUP107	0.00082650655128	0.011	0.776734177215	False	6	1	0.106377312331
NXNL1	0.000834609556685	0.011	0.776734177215	False	6	1	-0.202613560953
ECT2L	0.000842712562089	0.011	0.776734177215	False	6	1	0.404304701747
CHST2	0.000850815567494	0.011	0.776734177215	False	6	1	-0.580051949865
FAM78A	0.000858918572899	0.011	0.776734177215	False	6	1	0.182284802191
CTTNBP2	0.000867021578303	0.011	0.776734177215	False	6	1	0.270417012547
FOXJ3	0.000875124583708	0.011	0.776734177215	False	6	1	-0.475234834175
AP5Z1	0.000883227589113	0.011	0.776734177215	False	6	1	0.897011935752
PYROXD1	0.000891330594518	0.011	0.776734177215	False	6	1	-0.537524452476
STYXL1	0.000899433599922	0.012	0.776734177215	False	6	1	0.0863935143743
SCP2D1	0.000907536605327	0.012	0.776734177215	False	6	1	-0.306472725902
MAP2K1	0.000915639610732	0.012	0.776734177215	False	6	1	-1.0211881236
SMOC2	0.000931845621541	0.012	0.776734177215	False	6	1	0.504968385338
SLIT2	0.000944000129648	0.012	0.776734177215	False	4	1	0.173789849861
MAP6D1	0.000944000129648	0.012	0.776734177215	False	6	1	0.28995826429
HEMGN	0.000956154637755	0.012	0.776734177215	False	6	1	-0.774957775462
ZNF236	0.00096425764316	0.012	0.776734177215	False	6	1	0.416026226086
PMCH	0.000972360648565	0.012	0.776734177215	False	6	1	-0.811360287623
CLU	0.000980463653969	0.012	0.776734177215	False	6	1	-1.2558787619
ZSCAN22	0.000988566659374	0.013	0.776734177215	False	6	1	-0.535258057085
OGFOD2	0.000996669664779	0.013	0.776734177215	False	6	1	0.180538780367
OPTC	0.00100477267018	0.013	0.776734177215	False	6	1	-0.766859237382
ALDH1A1	0.00101287567559	0.013	0.776734177215	False	6	1	1.01229702483
HDHD2	0.00101874201749	0.013	0.776734177215	False	6	2	-0.0619814968308
PLGRKT	0.00102097868099	0.013	0.776734177215	False	6	1	0.811392577482
TDG	0.00102599651556	0.013	0.776734177215	False	6	2	0.252939117211
FLYWCH2	0.00102599651556	0.013	0.776734177215	False	6	2	-0.366976471114
KCNJ8	0.0010290816864	0.013	0.776734177215	False	6	1	-0.916120424954
LRRC40	0.0010371846918	0.013	0.776734177215	False	6	1	-1.12691975509
TMEM207	0.00103744844279	0.013	0.776734177215	False	6	2	-0.01042008435
INSIG1	0.00103744844279	0.013	0.776734177215	False	6	2	-0.138356385431
hsa-mir-4427	0.00104634119099	0.013	0.776734177215	False	4	2	1.15908050948
CACNA1A	0.00105211554507	0.013	0.776734177215	False	6	2	-0.272861725083
SGOL1	0.00105339070261	0.013	0.776734177215	False	6	1	-0.379402691574
MTMR14	0.0010542192497	0.013	0.776734177215	False	6	2	0.48253644221
NPR1	0.0010542192497	0.013	0.776734177215	False	6	2	-0.15156965908
MCOLN3	0.00105527188993	0.013	0.776734177215	False	6	2	-1.14607822509
SPTY2D1	0.00105579840702	0.013	0.776734177215	False	6	2	-0.178911550286
ZNF74	0.00105790578854	0.013	0.776734177215	False	6	2	-0.198598207112
DCSTAMP	0.0010586965983	0.013	0.776734177215	False	6	2	0.150257839007
OR4K5	0.0010586965983	0.013	0.776734177215	False	6	2	-0.0598383092444
HNRNPM	0.00106959671342	0.013	0.776734177215	False	6	1	-0.439264264089
BAX	0.00106979895862	0.013	0.776734177215	False	6	2	-0.379994210812
VSX1	0.0010769667708	0.013	0.776734177215	False	6	2	0.298851742169
LRRIQ1	0.0010769667708	0.013	0.776734177215	False	6	2	-1.40122888297
CD9	0.0010769667708	0.013	0.776734177215	False	6	2	0.0370621748137
ZC2HC1A	0.00107769971883	0.013	0.776734177215	False	6	1	-0.812050276215
C1QL3	0.00108580272423	0.013	0.776734177215	False	6	1	-0.809427698758
ZCCHC18	0.00109390572964	0.013	0.776734177215	False	6	1	-0.285474640968
DOCK6	0.00110170512923	0.013	0.776734177215	False	6	2	0.786906834158
hsa-mir-885	0.00111011174044	0.013	0.776734177215	False	4	1	0.144759200193
EPHA8	0.00111505807269	0.014	0.776734177215	False	6	2	0.458576539253
LRP1	0.00111505807269	0.014	0.776734177215	False	6	2	-0.848893769951
ATIC	0.00111505807269	0.014	0.776734177215	False	6	2	-1.25780810549
GABRB1	0.00111505807269	0.014	0.776734177215	False	6	2	-0.35674673792
SULT1C4	0.00111505807269	0.014	0.776734177215	False	6	2	0.529334096705
DDX52	0.00111505807269	0.014	0.776734177215	False	6	2	-0.0685159751166
C16orf95	0.00111505807269	0.014	0.776734177215	False	6	2	0.801938246893
DIS3L	0.00111505807269	0.014	0.776734177215	False	6	2	-0.7719987023
SPATA31A4	0.00111505807269	0.014	0.776734177215	False	6	2	1.46521663572
GCLM	0.00111505807269	0.014	0.776734177215	False	6	2	-0.358871312639
PITPNM1	0.00111505807269	0.014	0.776734177215	False	6	2	0.0150039434835
LDHAL6A	0.00111505807269	0.014	0.776734177215	False	6	2	0.0508329045867
ATP2B2	0.00111505807269	0.014	0.776734177215	False	6	2	-1.71607798184
UTS2	0.00111505807269	0.014	0.776734177215	False	6	2	-0.984132508952
KIAA0907	0.00111505807269	0.014	0.776734177215	False	6	2	-0.855343566205
DIS3L2	0.00111821474585	0.014	0.776734177215	False	6	1	-1.00814888519
SVIP	0.00112631775125	0.014	0.776734177215	False	6	1	-0.0625179417606
hsa-mir-6837	0.00113442075666	0.014	0.776734177215	False	4	1	1.13212103446
DYRK1A	0.00114252376206	0.014	0.776734177215	False	6	1	0.553136582813
CD52	0.00114364989078	0.014	0.776734177215	False	6	2	0.643810070384
FGD5	0.00114666616923	0.014	0.776734177215	False	6	2	-0.70936892876
OCSTAMP	0.00114886232131	0.014	0.776734177215	False	6	2	0.160065640575
PIM3	0.00115062676747	0.014	0.776734177215	False	6	1	-1.24496839575
TIMM23	0.00115463721707	0.014	0.776734177215	False	6	2	-0.976447913986
SLC26A2	0.00115872977287	0.014	0.776734177215	False	6	1	-0.201278939252
PCNXL3	0.00116683277828	0.014	0.776734177215	False	6	1	-0.0886399353867
FTO	0.00119519329719	0.014	0.776734177215	False	6	1	0.0203384507364
SCARB1	0.00119519329719	0.014	0.776734177215	False	6	1	-0.665417526794
UCKL1	0.00119519329719	0.014	0.776734177215	False	6	1	0.0285717637732
BPNT1	0.00121092562975	0.014	0.776734177215	False	6	2	0.146986693597
RIN1	0.00121092562975	0.014	0.776734177215	False	6	2	-0.393075423433
FBF1	0.00121092562975	0.014	0.776734177215	False	6	2	-0.354183233574
C7orf65	0.00121092562975	0.014	0.776734177215	False	6	2	-0.214843198079
PYGO1	0.00121092562975	0.014	0.776734177215	False	6	2	-0.467875538298
TRAPPC1	0.00121092562975	0.014	0.776734177215	False	6	2	1.17324877389
